city,phone_service,multiple_lines,internet_service,internet_type,contract_type,"tenure (months)",customer_status
"West Point",Yes,No,No,None,Month-to-Month,1,Churned
"Los Angeles",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,1,Churned
"Morongo Valley",Yes,No,Yes,"Fiber Optic","One Year",32,Stayed
"Palo Verde",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,16,Stayed
Valyermo,Yes,Yes,Yes,Cable,"One Year",49,Churned
"Round Mountain",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,33,Stayed
Klamath,Yes,No,No,None,Month-to-Month,10,Stayed
Fresno,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,21,Churned
Angwin,No,No,Yes,DSL,Month-to-Month,37,Churned
"Le Grand",Yes,No,Yes,"Fiber Optic",Month-to-Month,26,Stayed
Redway,No,No,Yes,DSL,"One Year",50,Stayed
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,7,Churned
"Big Oak Flat",Yes,No,Yes,"Fiber Optic",Month-to-Month,15,Churned
"Stevenson Ranch",No,No,Yes,DSL,Month-to-Month,26,Stayed
"North Highlands",Yes,No,Yes,"Fiber Optic",Month-to-Month,72,Stayed
"La Puente",Yes,No,No,None,"One Year",44,Stayed
Glenhaven,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,66,Stayed
Alhambra,Yes,No,Yes,"Fiber Optic",Month-to-Month,2,Churned
"Santa Monica",Yes,No,Yes,DSL,"One Year",44,Stayed
Lodi,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,12,Churned
Fairfield,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,1,Churned
Stockton,Yes,No,No,None,Month-to-Month,3,Churned
Randsburg,Yes,No,No,None,Month-to-Month,26,Stayed
Atascadero,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,39,Stayed
Planada,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,25,Churned
Moorpark,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Solvang,Yes,No,Yes,DSL,Month-to-Month,22,Churned
Boron,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,19,Stayed
"Desert Center",Yes,Yes,Yes,"Fiber Optic","One Year",33,Stayed
Tuolumne,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,47,Stayed
Auburn,Yes,Yes,Yes,"Fiber Optic","One Year",71,Stayed
"Del Rey",Yes,No,Yes,"Fiber Optic",Month-to-Month,27,Stayed
Hawthorne,Yes,No,Yes,DSL,"One Year",30,Stayed
Oceano,Yes,No,Yes,"Fiber Optic","One Year",58,Churned
Armona,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,10,Churned
Clarksburg,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,9,Stayed
Irvine,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,6,Churned
"Scotts Valley",Yes,Yes,Yes,"Fiber Optic","One Year",69,Stayed
Mckinleyville,Yes,Yes,Yes,"Fiber Optic","One Year",70,Churned
Atherton,Yes,Yes,No,None,"One Year",25,Churned
Calimesa,Yes,Yes,Yes,"Fiber Optic","One Year",54,Stayed
"Daly City",Yes,No,Yes,"Fiber Optic",Month-to-Month,15,Churned
Middletown,Yes,No,No,None,Month-to-Month,12,Stayed
Berkeley,No,No,Yes,Cable,Month-to-Month,22,Stayed
"Garden Grove",Yes,No,Yes,"Fiber Optic",Month-to-Month,30,Stayed
Indio,Yes,Yes,Yes,"Fiber Optic","One Year",71,Stayed
Oxnard,Yes,No,No,None,"One Year",30,Stayed
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,4,Churned
Escondido,Yes,No,Yes,"Fiber Optic",Month-to-Month,2,Churned
"Moreno Valley",Yes,No,No,None,"One Year",10,Stayed
Chino,Yes,No,Yes,"Fiber Optic","One Year",4,Stayed
"San Diego",Yes,Yes,Yes,Cable,Month-to-Month,5,Churned
"Los Gatos",Yes,Yes,Yes,DSL,Month-to-Month,19,Stayed
Hyampom,No,No,Yes,DSL,"One Year",63,Stayed
Temecula,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Livingston,Yes,Yes,Yes,"Fiber Optic","One Year",60,Stayed
Tulare,No,No,Yes,DSL,"One Year",48,Stayed
Buellton,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Palmdale,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,15,Churned
"Midway City",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,50,Stayed
Oakland,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,46,Stayed
"Bodega Bay",Yes,Yes,Yes,Cable,"One Year",52,Stayed
Challenge,Yes,No,Yes,Cable,"One Year",67,Stayed
Ludlow,Yes,No,Yes,"Fiber Optic",Month-to-Month,28,Churned
"Santa Clara",Yes,Yes,Yes,DSL,Month-to-Month,32,Stayed
Perris,Yes,No,Yes,Cable,Month-to-Month,27,Churned
"San Diego",Yes,Yes,Yes,Cable,Month-to-Month,2,Churned
"San Dimas",Yes,No,Yes,Cable,Month-to-Month,9,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,32,Churned
Lotus,Yes,No,Yes,"Fiber Optic",Month-to-Month,16,Stayed
"Pilot Hill",Yes,No,No,None,Month-to-Month,3,Churned
"San Francisco",Yes,Yes,No,None,"One Year",23,Stayed
"Los Angeles",No,No,Yes,Cable,Month-to-Month,7,Stayed
"Harbor City",Yes,No,Yes,DSL,Month-to-Month,8,Stayed
Inglewood,Yes,No,No,None,Month-to-Month,5,Churned
"Los Angeles",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,49,Churned
Aromas,No,No,Yes,DSL,Month-to-Month,12,Stayed
Badger,Yes,No,Yes,DSL,Month-to-Month,27,Stayed
Parlier,Yes,No,Yes,DSL,Month-to-Month,35,Stayed
"Death Valley",Yes,Yes,Yes,DSL,Month-to-Month,54,Stayed
"La Puente",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,1,Churned
Riverdale,Yes,No,Yes,DSL,Month-to-Month,5,Stayed
"San Francisco",Yes,No,Yes,DSL,"One Year",19,Stayed
"San Diego",Yes,No,Yes,"Fiber Optic",Month-to-Month,8,Churned
Claremont,Yes,Yes,Yes,DSL,"One Year",41,Stayed
Glendale,Yes,No,No,None,Month-to-Month,5,Stayed
Gardena,No,No,Yes,DSL,"One Year",11,Stayed
Fallbrook,Yes,No,Yes,"Fiber Optic",Month-to-Month,5,Churned
"San Francisco",Yes,No,No,None,"One Year",16,Stayed
"San Diego",Yes,Yes,Yes,"Fiber Optic","One Year",71,Stayed
"Santa Ana",No,No,Yes,DSL,"One Year",11,Stayed
Snelling,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,61,Churned
Darwin,Yes,No,Yes,Cable,"One Year",71,Stayed
"San Bernardino",Yes,No,No,None,Month-to-Month,9,Stayed
Garberville,Yes,No,Yes,DSL,Month-to-Month,6,Stayed
"Long Beach",Yes,No,Yes,"Fiber Optic",Month-to-Month,26,Churned
Upland,Yes,No,Yes,Cable,Month-to-Month,6,Stayed
"El Dorado Hills",Yes,No,Yes,"Fiber Optic",Month-to-Month,11,Stayed
"Santa Rosa",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Oxnard,Yes,No,Yes,"Fiber Optic",Month-to-Month,23,Churned
Palmdale,Yes,No,Yes,DSL,Month-to-Month,2,Churned
Covina,Yes,No,Yes,DSL,Month-to-Month,1,Churned
Palmdale,Yes,Yes,Yes,Cable,Month-to-Month,68,Churned
Hoopa,Yes,No,Yes,"Fiber Optic",Month-to-Month,8,Churned
"Long Beach",Yes,Yes,Yes,"Fiber Optic","One Year",70,Stayed
Samoa,Yes,Yes,Yes,"Fiber Optic","One Year",39,Stayed
"Burnt Ranch",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"Garden Grove",Yes,No,Yes,"Fiber Optic",Month-to-Month,3,Churned
Milford,Yes,Yes,Yes,"Fiber Optic","One Year",60,Stayed
Anderson,Yes,No,Yes,"Fiber Optic",Month-to-Month,5,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,3,Churned
"San Diego",Yes,Yes,Yes,Cable,"One Year",55,Stayed
"Los Angeles",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,41,Churned
"San Diego",Yes,No,Yes,"Fiber Optic",Month-to-Month,6,Churned
"San Mateo",Yes,No,No,None,Month-to-Month,15,Stayed
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,58,Churned
"San Francisco",Yes,No,Yes,"Fiber Optic",Month-to-Month,31,Churned
"Santa Cruz",Yes,No,Yes,Cable,Month-to-Month,11,Stayed
"El Cajon",Yes,No,No,None,Month-to-Month,25,Stayed
Thornton,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,36,Churned
"Lake Hughes",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,32,Churned
"San Juan Capistrano",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,17,Stayed
Copperopolis,Yes,No,Yes,"Fiber Optic",Month-to-Month,18,Stayed
Covina,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,37,Stayed
Cypress,Yes,No,Yes,"Fiber Optic","One Year",28,Stayed
Sacramento,No,No,Yes,Cable,"One Year",9,Stayed
"Los Angeles",No,No,Yes,DSL,Month-to-Month,1,Churned
"San Ysidro",Yes,No,Yes,"Fiber Optic",Month-to-Month,36,Stayed
Novato,Yes,Yes,Yes,Cable,Month-to-Month,23,Churned
Gilroy,Yes,No,Yes,DSL,Month-to-Month,22,Stayed
"South San Francisco",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,17,Churned
Vernalis,Yes,No,Yes,"Fiber Optic",Month-to-Month,3,Churned
"San Jose",Yes,No,Yes,Cable,"One Year",58,Churned
"Newport Beach",Yes,No,Yes,"Fiber Optic","One Year",34,Stayed
"San Francisco",Yes,No,No,None,Month-to-Month,10,Stayed
"Los Angeles",No,No,Yes,Cable,"One Year",40,Stayed
Turlock,Yes,No,Yes,DSL,Month-to-Month,20,Stayed
Riverside,Yes,No,Yes,"Fiber Optic",Month-to-Month,2,Churned
"Los Alamitos",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Encinitas,Yes,No,Yes,DSL,Month-to-Month,23,Stayed
Sacramento,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,36,Stayed
"South Dos Palos",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,59,Churned
"El Monte",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,37,Churned
"La Habra",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,3,Churned
Visalia,Yes,Yes,Yes,"Fiber Optic","One Year",54,Churned
"San Francisco",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,60,Churned
Whittier,Yes,Yes,Yes,"Fiber Optic","One Year",58,Stayed
"Long Beach",Yes,No,Yes,"Fiber Optic",Month-to-Month,31,Stayed
"Los Gatos",Yes,No,Yes,DSL,Month-to-Month,1,Churned
"Grass Valley",Yes,No,Yes,"Fiber Optic",Month-to-Month,49,Stayed
"San Diego",No,No,Yes,DSL,Month-to-Month,8,Churned
Fresno,Yes,No,No,None,"One Year",15,Stayed
"San Diego",Yes,Yes,Yes,"Fiber Optic","One Year",51,Stayed
Encino,Yes,No,No,None,Month-to-Month,1,Churned
Bellflower,Yes,No,No,None,"One Year",25,Stayed
Sonora,Yes,No,Yes,"Fiber Optic",Month-to-Month,22,Stayed
Highland,Yes,Yes,Yes,DSL,Month-to-Month,15,Stayed
Novato,Yes,No,Yes,"Fiber Optic","One Year",28,Churned
"Los Angeles",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,47,Stayed
Escondido,Yes,No,Yes,"Fiber Optic",Month-to-Month,18,Stayed
Petaluma,Yes,Yes,Yes,DSL,"One Year",41,Stayed
Mojave,Yes,Yes,Yes,DSL,Month-to-Month,44,Stayed
Callahan,Yes,No,Yes,"Fiber Optic","One Year",53,Stayed
Denair,Yes,Yes,Yes,"Fiber Optic","One Year",54,Stayed
Wrightwood,No,No,Yes,Cable,Month-to-Month,48,Churned
Monterey,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,24,Stayed
"Oak Run",Yes,No,Yes,"Fiber Optic",Month-to-Month,23,Churned
Escondido,Yes,No,Yes,DSL,Month-to-Month,10,Stayed
Lomita,Yes,No,Yes,"Fiber Optic",Month-to-Month,29,Stayed
Kelseyville,Yes,Yes,Yes,"Fiber Optic","One Year",62,Stayed
Orangevale,Yes,Yes,Yes,DSL,"One Year",41,Churned
Pinecrest,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,43,Churned
"Beale Afb",Yes,No,Yes,"Fiber Optic",Month-to-Month,19,Stayed
Greenville,Yes,Yes,Yes,"Fiber Optic","One Year",45,Stayed
"Fort Bragg",Yes,No,Yes,DSL,"One Year",32,Stayed
Petaluma,Yes,Yes,No,None,Month-to-Month,41,Stayed
Torrance,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,55,Churned
"Mount Hermon",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,61,Stayed
"Santa Barbara",Yes,No,No,None,Month-to-Month,25,Stayed
Taylorsville,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Korbel,Yes,No,Yes,Cable,"One Year",23,Stayed
"Pine Valley",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,21,Stayed
"Santa Rosa",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"Loma Mar",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,5,Churned
Bangor,Yes,No,Yes,Cable,"One Year",24,Stayed
Guinda,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,27,Churned
"Rancho Cordova",Yes,No,Yes,"Fiber Optic",Month-to-Month,5,Churned
"Canyon Dam",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"Palomar Mountain",Yes,Yes,Yes,"Fiber Optic","One Year",60,Stayed
"San Jose",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Topanga,Yes,No,Yes,"Fiber Optic","One Year",28,Stayed
Oxnard,Yes,Yes,Yes,"Fiber Optic","One Year",62,Stayed
Stanton,Yes,No,No,None,"One Year",18,Churned
Sacramento,Yes,No,Yes,DSL,Month-to-Month,5,Churned
Stockton,Yes,No,No,None,Month-to-Month,20,Stayed
Felton,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Lewiston,Yes,No,Yes,"Fiber Optic","One Year",35,Churned
Anza,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,30,Churned
"Forest Ranch",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,15,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,55,Churned
"Montgomery Creek",Yes,Yes,Yes,DSL,"One Year",57,Stayed
Leggett,Yes,No,No,None,Month-to-Month,28,Stayed
Dixon,Yes,No,No,None,Month-to-Month,12,Stayed
Flournoy,Yes,Yes,Yes,"Fiber Optic","One Year",51,Stayed
Thermal,Yes,No,Yes,DSL,Month-to-Month,13,Stayed
"Beverly Hills",Yes,No,Yes,Cable,"One Year",18,Stayed
Guerneville,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,9,Churned
"Imperial Beach",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,20,Stayed
"San Diego",Yes,Yes,Yes,DSL,"One Year",69,Churned
Benicia,Yes,Yes,Yes,"Fiber Optic","One Year",63,Stayed
Biola,Yes,No,Yes,DSL,Month-to-Month,7,Stayed
"San Francisco",Yes,Yes,No,None,Month-to-Month,5,Churned
Anderson,Yes,No,Yes,"Fiber Optic",Month-to-Month,9,Stayed
Hilmar,Yes,No,Yes,"Fiber Optic","One Year",60,Stayed
Parlier,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,27,Churned
"San Jose",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,16,Stayed
Seeley,Yes,No,Yes,Cable,Month-to-Month,22,Churned
Riverside,Yes,Yes,Yes,"Fiber Optic","One Year",41,Stayed
"San Jose",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,24,Stayed
Taylorsville,Yes,Yes,Yes,Cable,Month-to-Month,25,Stayed
Etna,Yes,No,Yes,"Fiber Optic",Month-to-Month,40,Stayed
Willows,Yes,No,Yes,Cable,Month-to-Month,8,Churned
Mather,Yes,No,No,None,Month-to-Month,13,Stayed
Fairfax,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,64,Stayed
Hydesville,Yes,No,Yes,"Fiber Optic",Month-to-Month,62,Churned
Graton,Yes,No,Yes,"Fiber Optic",Month-to-Month,20,Stayed
Shafter,No,No,Yes,DSL,Month-to-Month,14,Churned
Whittier,Yes,No,Yes,Cable,Month-to-Month,12,Stayed
Ranchita,Yes,Yes,Yes,DSL,"One Year",45,Stayed
Comptche,Yes,No,Yes,"Fiber Optic",Month-to-Month,20,Churned
Vista,No,No,Yes,DSL,Month-to-Month,1,Churned
"Shasta Lake",No,No,Yes,Cable,Month-to-Month,1,Churned
"Rancho Cordova",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,49,Churned
Wasco,Yes,No,Yes,"Fiber Optic",Month-to-Month,28,Churned
Pasadena,Yes,No,Yes,"Fiber Optic",Month-to-Month,13,Stayed
"Oak Run",Yes,No,No,None,Month-to-Month,4,Stayed
Irvine,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,63,Stayed
Maywood,Yes,No,No,None,"One Year",56,Stayed
Newhall,Yes,No,Yes,Cable,Month-to-Month,10,Churned
Murphys,Yes,Yes,Yes,"Fiber Optic","One Year",65,Stayed
"San Diego",No,No,Yes,Cable,Month-to-Month,21,Churned
Temecula,Yes,No,Yes,Cable,"One Year",22,Churned
"San Anselmo",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,23,Churned
Ceres,Yes,Yes,Yes,DSL,"One Year",40,Stayed
"Elk Grove",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,2,Churned
Wilton,Yes,No,Yes,"Fiber Optic",Month-to-Month,13,Churned
"Douglas City",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,16,Churned
"White Water",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,67,Churned
Azusa,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,47,Churned
Merced,Yes,No,Yes,"Fiber Optic",Month-to-Month,4,Stayed
Mojave,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,21,Churned
Pescadero,Yes,No,Yes,DSL,"One Year",62,Stayed
Alviso,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,7,Churned
"Palm Springs",Yes,No,Yes,DSL,Month-to-Month,29,Stayed
"Rancho Cucamonga",Yes,Yes,Yes,DSL,"One Year",48,Stayed
Seaside,Yes,Yes,Yes,DSL,"One Year",53,Stayed
"Round Mountain",Yes,No,No,None,"One Year",6,Stayed
Orleans,Yes,No,Yes,DSL,"One Year",22,Stayed
"Nevada City",No,No,Yes,DSL,Month-to-Month,1,Churned
"Morongo Valley",Yes,No,Yes,"Fiber Optic",Month-to-Month,34,Stayed
Lodi,Yes,Yes,Yes,DSL,"One Year",48,Stayed
"Santa Rosa",No,No,Yes,DSL,Month-to-Month,21,Stayed
"Chino Hills",Yes,Yes,Yes,"Fiber Optic","One Year",71,Stayed
Branscomb,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Fresno,Yes,No,Yes,Cable,"One Year",50,Stayed
Winters,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,15,Churned
"Diamond Bar",Yes,No,Yes,"Fiber Optic",Month-to-Month,21,Stayed
"Oro Grande",Yes,No,Yes,Cable,Month-to-Month,1,Churned
"Buena Park",Yes,No,Yes,"Fiber Optic",Month-to-Month,2,Churned
Richmond,Yes,Yes,Yes,Cable,"One Year",65,Churned
Yreka,Yes,No,Yes,"Fiber Optic",Month-to-Month,52,Stayed
"Los Angeles",Yes,No,Yes,"Fiber Optic",Month-to-Month,13,Churned
Stockton,Yes,No,No,None,Month-to-Month,4,Stayed
Biola,Yes,Yes,Yes,"Fiber Optic","One Year",46,Churned
Pasadena,Yes,No,Yes,"Fiber Optic","One Year",53,Churned
Elverta,Yes,Yes,Yes,"Fiber Optic","One Year",40,Stayed
"North Hills",Yes,No,Yes,Cable,Month-to-Month,23,Stayed
"Los Angeles",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,4,Churned
"Westlake Village",No,No,Yes,Cable,Month-to-Month,57,Stayed
"La Mesa",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,49,Stayed
"Santa Barbara",Yes,No,Yes,Cable,Month-to-Month,9,Stayed
"Dutch Flat",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,4,Churned
Milpitas,Yes,Yes,Yes,DSL,Month-to-Month,13,Stayed
"West Hollywood",Yes,Yes,Yes,Cable,Month-to-Month,34,Stayed
Stockton,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,9,Churned
Norco,Yes,Yes,Yes,DSL,Month-to-Month,12,Churned
"Half Moon Bay",Yes,No,Yes,"Fiber Optic",Month-to-Month,7,Stayed
Davis,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,4,Churned
Fallbrook,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,1,Churned
"Gold Run",Yes,Yes,Yes,Cable,"One Year",44,Stayed
"Dos Rios",No,No,Yes,Cable,"One Year",45,Stayed
Manteca,Yes,Yes,Yes,DSL,"One Year",36,Stayed
Fresno,Yes,Yes,Yes,"Fiber Optic","One Year",55,Churned
Yermo,Yes,No,Yes,"Fiber Optic",Month-to-Month,9,Churned
"Redwood City",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,30,Stayed
Downey,Yes,No,No,None,"One Year",52,Stayed
"San Francisco",Yes,Yes,Yes,DSL,Month-to-Month,24,Churned
Fallbrook,Yes,No,Yes,Cable,Month-to-Month,4,Churned
Adin,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"Butte City",Yes,No,Yes,DSL,"One Year",51,Stayed
Bakersfield,No,No,Yes,DSL,"One Year",51,Stayed
Inglewood,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,64,Stayed
Kingsburg,No,No,Yes,Cable,Month-to-Month,2,Churned
Tarzana,Yes,No,Yes,"Fiber Optic","One Year",70,Churned
"Buena Park",No,No,Yes,DSL,Month-to-Month,13,Stayed
Temecula,Yes,No,Yes,"Fiber Optic","One Year",52,Stayed
Hyampom,Yes,No,No,None,Month-to-Month,7,Stayed
Cool,Yes,No,Yes,"Fiber Optic",Month-to-Month,2,Churned
"Pauma Valley",No,No,Yes,DSL,"One Year",46,Stayed
Colton,Yes,No,No,None,Month-to-Month,1,Churned
"Big Bear Lake",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,16,Stayed
Lodi,Yes,No,Yes,"Fiber Optic",Month-to-Month,3,Churned
Stockton,Yes,Yes,Yes,DSL,Month-to-Month,11,Stayed
Anaheim,No,No,Yes,DSL,Month-to-Month,9,Churned
"San Francisco",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,9,Churned
Newman,Yes,Yes,No,None,"One Year",62,Stayed
"Valley Village",Yes,Yes,Yes,"Fiber Optic","One Year",66,Stayed
"San Diego",No,No,Yes,DSL,Month-to-Month,16,Churned
"Carmel Valley",Yes,No,No,None,Month-to-Month,16,Stayed
Tustin,Yes,No,No,None,"One Year",58,Stayed
"Los Angeles",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,4,Stayed
"San Diego",Yes,Yes,Yes,"Fiber Optic","One Year",67,Stayed
Grenada,Yes,No,Yes,Cable,Month-to-Month,15,Stayed
"Foothill Ranch",No,No,Yes,DSL,Month-to-Month,11,Stayed
"Palm Desert",Yes,Yes,No,None,"One Year",43,Stayed
Woodland,Yes,No,Yes,Cable,Month-to-Month,3,Churned
Chowchilla,Yes,Yes,Yes,DSL,"One Year",24,Stayed
"Rohnert Park",Yes,Yes,Yes,Cable,"One Year",52,Stayed
Alameda,No,No,Yes,Cable,Month-to-Month,13,Stayed
"Corona Del Mar",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"Los Angeles",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,27,Churned
Lafayette,Yes,Yes,Yes,DSL,Month-to-Month,17,Stayed
Posey,No,No,Yes,DSL,Month-to-Month,2,Churned
"Los Angeles",Yes,Yes,Yes,DSL,Month-to-Month,27,Stayed
Temecula,No,No,Yes,DSL,Month-to-Month,52,Churned
Mckinleyville,Yes,Yes,Yes,"Fiber Optic","One Year",45,Stayed
Orange,Yes,No,No,None,"One Year",15,Stayed
